filename, language, CSS, JavaScript, XML, JavaScript React, SCSS, comment, blank, total
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\pages\sign-in-and-sign-up\sign-in-and-sign-up.styles.scss, SCSS, 0, 0, 0, 0, 6, 0, 0, 6
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\redux\cart\cart.actions.js, JavaScript, 0, 4, 0, 0, 0, 0, 1, 5
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\redux\cart\cart.reducer.js, JavaScript, 0, 16, 0, 0, 0, 0, 4, 20
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\redux\cart\cart.types.js, JavaScript, 0, 4, 0, 0, 0, 0, 1, 5
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\redux\root-reducer.js, JavaScript, 0, 5, 0, 0, 0, 0, 2, 7
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\redux\store.js, JavaScript, 0, 6, 0, 0, 0, 0, 4, 10
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\redux\user\user.actions.js, JavaScript, 0, 5, 0, 0, 0, 0, 2, 7
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\redux\user\user.reducer.jsx, JavaScript React, 0, 0, 0, 16, 0, 0, 4, 20
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\redux\user\user.types.js, JavaScript, 0, 3, 0, 0, 0, 0, 0, 3
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\serviceWorker.js, JavaScript, 0, 98, 0, 0, 0, 31, 13, 142
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\setupTests.js, JavaScript, 0, 1, 0, 0, 0, 4, 1, 6
c:\Users\alex\OneDrive\Documents\PROJECTS\react-course\crwn-clothing\src\test.js, JavaScript, 0, 5, 0, 0, 0, 0, 2, 7
Total, -, 23, 520, 75, 431, 276, 37, 210, 1572
